id,city,region,country,country_code,air_quality,water_pollution
3215,Gedera,Central District,Israel,376,12.5,50
3216,Langley,British Columbia,Canada,124,75,62.5
3217,New Amsterdam,East Berbice-Corentyne,Guyana,328,100,50
3218,San Angelo,Texas,United States of America,840,100,37.5
3219,Colombo,Parana,Brazil,76,33.33333333,50
3220,Oeiras,Lisbon,Portugal,620,81.25,18.75
3221,Pinehurst,Georgia,United States of America,840,100,0
3222,Serra,Espirito Santo,Brazil,76,25,75
3223,Tarapoto,San Martin,Peru,604,75,75
3224,Gujrat,Punjab,Pakistan,586,50,87.5
3225,Imperial,California,United States of America,840,87.5,50
3226,Sydney,Nova Scotia,Canada,124,100,25
3227,Avellaneda,Santa Fe Province,Argentina,32,0,100
3228,Largo,Florida,United States of America,840,75,75
3229,San Miguelito District,Panama Province,Panama,591,50,50
3230,Muncie,Indiana,United States of America,840,87.5,50
3231,Elmira,New York,United States of America,840,100,25
3232,Meru,Eastern Province,Kenya,404,75,25
3233,Laurel,Mississippi,United States of America,840,87.5,50
3234,Penticton,British Columbia,Canada,124,56.25,12.5
3235,Oban,Scotland,United Kingdom,826,100,0
3236,Koscierzyna,Pomeranian Voivodeship,Poland,616,62.5,50
3237,La Crosse,Wisconsin,United States of America,840,100,50
3238,Guadalupe,Nuevo Leon,Mexico,484,50,25
3239,Bildudalur,,Iceland,352,0,100
3240,St. Albert,Alberta,Canada,124,100,8.333333333
3241,Sungai Petani,Kedah,Malaysia,458,37.5,50
3242,Itapetininga,Sao Paulo,Brazil,76,62.5,50
3243,Franklin,Massachusetts,United States of America,840,87.5,12.5
3244,Sohar,Al Batinah North Governorate,Oman,512,75,66.66666667
3245,Loja,Loja Province,Ecuador,218,100,75
3246,Elizabethtown,Kentucky,United States of America,840,90,0
3247,Ibarra,Imbabura Province,Ecuador,218,77.77777778,50
3248,Selah,Washington,United States of America,840,75,25
3249,Lake Elsinore,California,United States of America,840,50,75
3250,Aliso Viejo,California,United States of America,840,100,75
3251,Melbourne,Florida,United States of America,840,80,39.28571429
3252,Pouso Alegre,Minas Gerais,Brazil,76,87.5,37.5
3253,Paulista,Pernambuco,Brazil,76,75,25
3254,Muskegon,Michigan,United States of America,840,100,50
3255,Safety Harbor,Florida,United States of America,840,100,75
3256,Burns Lake,British Columbia,Canada,124,100,50
3257,Marshall,Missouri,United States of America,840,100,50
3258,Rolla,Missouri,United States of America,840,100,25
3259,Taos,Missouri,United States of America,840,100,75
3260,Cornwall,Ontario,Canada,124,96.42857143,50
3261,Libby,Montana,United States of America,840,100,25
3262,Crown Point,Indiana,United States of America,840,87.5,25
3263,Newbridge,Leinster,Ireland,372,50,0
3264,Wenatchee,Washington,United States of America,840,25,0
3265,Liberty,Missouri,United States of America,840,62.5,50
3266,Chesterfield,Missouri,United States of America,840,87.5,37.5
3267,O'Fallon,Missouri,United States of America,840,0,100
3268,Youngstown,New York,United States of America,840,75,58.33333333
3269,Forsyth,Montana,United States of America,840,80,100
3270,Rock Hill,South Carolina,United States of America,840,87.5,62.5
3271,Morristown,New Jersey,United States of America,840,100,100
3272,Chesham,England,United Kingdom,826,75,50
3273,Leesburg,Georgia,United States of America,840,87.5,50
3274,Oshkosh,Nebraska,United States of America,840,50,75
3275,Brentwood,Missouri,United States of America,840,75,0
3276,Cape Canaveral,Florida,United States of America,840,75,0
3277,Clayton,Missouri,United States of America,840,87.5,50
3278,Sao Caetano do Sul,Sao Paulo,Brazil,76,37.5,50
3279,Okara,Punjab,Pakistan,586,75,50
3280,Vero Beach,Florida,United States of America,840,93.75,62.5
3281,Lawrenceville,Georgia,United States of America,840,100,0
3282,Weatherford,Texas,United States of America,840,100,0
3283,Del Rio,Texas,United States of America,840,100,25
3284,Warrenton,Virginia,United States of America,840,100,0
3285,Sheikhupura,Punjab,Pakistan,586,50,100
3286,Mansfield,Texas,United States of America,840,90,0
3287,Whakatane,Bay of Plenty Region,New Zealand,554,100,37.5
3288,Negril,Cornwall County,Jamaica,388,100,75
3289,Skardu,Gilgit-Baltistan,Pakistan,586,100,75
3290,Jeffersonville,Indiana,United States of America,840,87.5,50
3291,Lake Worth,Texas,United States of America,840,100,100
3292,Kawthaung,Tanintharyi Region,Myanmar,104,50,50
3293,Katy,Texas,United States of America,840,60,50
3294,McLean,Texas,United States of America,840,100,25
3295,Leander,Texas,United States of America,840,100,0
3296,San Marcos,Texas,United States of America,840,100,0
3297,League City,Texas,United States of America,840,75,25
3298,Chilliwack,British Columbia,Canada,124,79.54545455,16.66666667
3299,Pullman,Washington,United States of America,840,100,0
3300,Catanduva,Sao Paulo,Brazil,76,37.5,50
3301,Mansfield,Ohio,United States of America,840,75,25
3302,Krasnik,Lublin Voivodeship,Poland,616,50,50
3303,Fort Dodge,Iowa,United States of America,840,25,75
3304,Lakeville,Minnesota,United States of America,840,100,50
3305,Titusville,Florida,United States of America,840,100,25
3306,Lakewood,Washington,United States of America,840,100,75
3307,Longview,Washington,United States of America,840,0,75
3308,Oxford,Mississippi,United States of America,840,100,0
3309,Lima,Ohio,United States of America,840,75,50
3310,Nisko,Podkarpackie Voivodeship,Poland,616,62.5,50
3311,Fort Walton Beach,Florida,United States of America,840,100,50
3312,Paducah,Kentucky,United States of America,840,85.71428571,62.5
3313,Coon Rapids,Minnesota,United States of America,840,100,50
3314,Traverse City,Michigan,United States of America,840,75,25
3315,Patos de Minas,Minas Gerais,Brazil,76,25,50
3316,Tebessa,Tebessa Province,Algeria,12,100,0
3317,Rocklin,California,United States of America,840,100,0
3318,Sheboygan,Wisconsin,United States of America,840,100,0
3319,Marina,California,United States of America,840,100,50
3320,Sebring,Florida,United States of America,840,25,50
3321,Morecambe,England,United Kingdom,826,100,25
3322,Alexandria,Louisiana,United States of America,840,100,50
